entry	  دەم	زارک	دەرگانە	دەروو	ناڤدەر	درگا	دەرک	رێڕەو	پێشەکی	دەسپێک	لێما	لێمە	سەرواژە	سەروشە
impersonate	  لاسایی کردنەوە	خۆکردن بەکەسێکی تر												
affection	  سۆز	خۆشەویستی												
lover	  دڵدار	خۆشەویست												
comfort	  ڕاحەتی	خۆشی												
nutrition	  خواردەمەنی	خۆراک												
writhe	  تلانەوە (ئازار)	خۆپێچدان (ئازار)												
autonomy	  ئۆتۆنۆمی	خۆبەڕێوبەری												
student	  قوتابی	خوێندکار												
workshop	  شوێنی کار	خوولی فێربوون												
habitation	  راهاتووی	خووگری												
mohair	  تووکی بزن	خوری بزن												
east	  رۆژهەڵات	خورهەڵات												
desire	  داخوازی	خواست												
restaurant	  چێشتخانە	خواردنگە												
lower	  نزمتر	خوارتر												
noise	  دەنگەدەنگی ناخۆش	خشەخش												
block	  بلۆک	خشت												
drag	  ڕاکێشان	خشاندن												
showing	  پیشاندان	خستنەبەرچاو												
insert	  تێخستن	خستنە ناو												
reptile	  گیانەوەرانی خزێنه	خزۆک												
service	  ڕاژە	خزمەتگوزاری												
collect	  کۆکردنەوە	خڕکردنەوە												
gather	  کۆکردنه‌وه‌	خڕکردنه‌وه‌ی خه‌ڵک												
devastation	  وێرانکردن	خراپکردن												
corrupt	  تێکدان	خراپکردن												
wait	  چاوەڕێکردن	خایاندن												
host	  یانەوان	خانەخوێ												
building	  باڵەخانه	خانوو												
uncle	  مام	خاڵ												
lady	  خانم	خاتوون												
demolition	  وێرانکردن	خاپورکردن												
repose	  پشوودان	حەسانەوە												
spell	  ڕێنووس	حونجە												
grovel	  به‌سه‌رده‌مدا ڕاکشان	حه‌زله‌خۆسووک کردن												
nausea	  دڵشێواو	حاڵەتی رشانەوه												
delude	  فێڵی لێ دەکا	چەواشەی دەکا												
Mass	  هەرژه	چەندێتی												
quantity	  بڕ	چەندێتی												
hump	  تاسەی سەر ڕێگە	چەماوە												
ammunition	  تەقەمەنی	چەک												
central	  ناوەندی	چەقی												
type	  جۆر	چەشن												
taste	  تامکردن	چەشتن												
blossom	  خونچە	چەپکەگوڵ												
quality	  جۆرایەتی	چۆنییەتی												
trickle	  دڵۆپەکردن	چۆڕەکردن												
box	  چوراچێوه	چواردەوری وێنه یان بابەتێک												
gibber	  قسه‌ی بێماناکردن	چه‌قه‌چه‌ق کردن												
small	  بچووک	چکۆلە												
expect	  پێشبینی کردن	چاوەڕوان کردن												
stare	  زەقبوونەوە	چاونەتروکاندن لەسەرشتێک												
guardian	  سەرپەرەشت	چاودێر												
stimulate	  هاندان	چالاککردن												
rectify	  راستکردن	چاککردن												
patch	  پینەکردن	چاککردن												
reparation	  چاککردنەوە	چاکسازی												
heal	  ساڕێژ دەكات	چاک دەكاتەوە												
fate	  قەدەر	چارەنووس												
Hell	  دۆزەخ	جەهەننەم												
woods	  دارستان	جەنگەڵ												
war	  شەڕ	جەنگ												
neighbour	  دراوسێ	جیران												
cast	  بەگەچگرتن(ی ئێسکی شکاو)	جیپس کردن‌												
residual	  پاشماوه	جیاوازی نێوان دەرئەنجامگەلی هەقیقی و تیۆریی												
discriminate	  جیاوازیکردن	جیاکردنەوە												
separate	  جیاکراوە	جیاجیا												
different	  جیاواز	جیا												
seat	  کورسی	جێگا لە پەرلەمان												
position	  شوێن	جێگا												
execute	  بەجێهێنان	جێبەجێکردن												
raft	  کەڵەک	جۆرێکی بەلەم												
sundry	  هەمەڕەنگ	جۆراوجۆر												
Jew	  جوولەکە	جوو												
flex	  نوشتاندنەوە	جوڵاندن												
separation	  دابڕانی	جودای												
garment	  جل وبه‌رگ	جل												
ellipse	  هێلکەیی	تەنی هێلکەیی												
object	  بەرکار	تەن												
puberty	  تەمەنی باڵەقی	تەمەنی هەرزەکاری												
mist	  تەم	تەمومژ												
trick	  فێڵ	تەڵە												
tidy	  ڕێک و پێک	تەکووز												
soak	  خوساندن	تەڕکردن												
whitewash	  سپی دەکات	تەختەی سپی												
blend	  تێکەڵکردن	تێکەڵ دەکا												
attempt	  هەوڵدان	تێکۆشین												
destroy	  وێرانکردن	تێکشکاندن												
smash	  ووردووخاشبوون	تێکشکاندن												
termination	  کۆتایی هێنان	تێکشکاندن												
text	  دەق	تێکست												
radiation	  تیشکدان	تێرێژدان												
enrol	  بوون بائەندام	تۆمارکردن												
seed	  تۆو	تۆم												
crown	  تەپڵی سەر	تۆقەسەر												
fright	  ترس	تۆقین												
frighten	  ترساندن	تۆقاندن												
network	  ڕایەڵە	تۆڕ												
artillery	  تۆپ	تۆپخانە												
ball	  گون	تۆپ												
peel	  پاککردن	توێکڵ لێکردنەوە												
research	  توێژینەوە	توێژینەوە لە بابەتێک												
layer	  چین	توێژاڵ												
anger	  تووڕەکردن	تووڕەیی												
stern	  دواوە	توندوتیژ												
aggravate	  گرژبوون	توندبوون												
ire	  توڕەکردن	توڕەیی												
phosphorus	  فۆسفۆر	توخمی کیمیایی سپی												
plutonium	  پلۆتۆنیوم	توخمی رادیۆئەکتیڤ												
exponent	  نوێن	توان												
drop	  دڵۆپ	تنۆک												
beg	  پاڕانەوە	تکاکردن												
tribunal	  دادگای تایبەت	تریبوناڵ												
auto	  ئۆتۆمۆبیل	ترومبێل												
sour	  ترش	ترشاو												
debate	  مشت و مڕکردن	تاووتوێکردن												
summer	  هاوین	تاوسان												
conviction	  گوناهباری	تاوانباری												
taxi	  تەکسی	تاکسی												
individuality	  کەسایەتی تاک	تاکایەتی												
individual	  تاکەکەس	تاک												
exam	  تاقیکردنەوە	تاقیکاری												
trial	  دادگایی	تاقی کردنەوە												
crew	  دەستە	تاقم												
intimacy	  دۆستایەتی نزیک	پەیوەندی ئەرخەیانی												
contractor	  بەڵێندەر	پەیماندەر												
example	  نموونە	پەند												
cotton	  لۆکە	پەمۆ												
cloud	  هەور	پەڵه												
rainbow	  کۆڵکەزێڕینە	پەلکە زێڕینە												
reject	  بەرپەرچدانەوە	پەسەندنەکردن												
admire	  بەدڵ بوون	پەسەندکردن												
fury	  تووڕەیی	پەستی												
helicopter	  هەلیکۆپتەر	پەروانەدار												
diffusion	  بڵاوکردنەوە	پەخشکردن												
broadcast	  پەخشکردن	پەخش												
profession	  پیشە	پیشەگەری												
craftsman	  خاوەن پیشە	پیشەداری کارامە												
S	  ئێس	پیتی س لە ئەلفوبێی ئینگلیزی												
letter	  نامە	پیت												
gent	  جوامێر	پیاوچاک												
cling	  پێوەئاڵان	پێوەلکان												
E	  ئی	پێنجەم پیتی ئەلفوبێی ئینگلیزی												
cohesion	  یەکگرتن	پێکەوەلکان												
coherence	  سازان	پێکەوەلکان												
consist	  پێکدێ لە	پێکهاتن لە												
compose	  ڕەگەز	پێکدەهێنێ												
battle	  جەنگ	پێکدادان												
reconcile	  ئاشت بوونەوە	پێک هێنانەوە												
cab	  تەکسی	پێفڕکی کرێ کە ئەسپ ڕایدەکیشێت												
pioneer	  پێشەنگ	پێشەوا												
precede	  پێشکەوتن	پێشەنگ بوون												
accident	  ڕووداو	پێشهات												
occurrence	  رووداو	پێشهات												
chafe	  پێست هەڵماڵینی پێ	پێست چوون												
payment	  پاره دانەوه	پێدانەوە												
afford	  توانای ماڵیی بەخشین	پێدان												
introduce	  ناساندن	پێ ناساندن												
consign	  راسپاردن	پێ سپاردن												
giving	  شت پێدان	پێ دان												
pole	  جەمسەر	پۆڵ												
attire	  پۆشاک	پۆشین												
comb	  شانەی پرچ	پۆپنەی کەڵەشێر												
crest	  پۆپیتەی کەڵەباب	پۆپکە												
brief	  کورتە	پوختە												
curl	  لۆچ دەبێ	پوچ دەبێ												
role	  ڕۆڵ	پلە												
gradation	  چین چین	پله‌پله‌												
holiday	  پشوو	پشووی هاوین												
search	  گەڕان	پشکنین												
neglect	  فەرامۆشکردن	پشت گوێخستن												
skill	  شارەزایی	پسپۆری												
dentist	  دانساز	پزیشکی ددان												
undertaking	  تەندەر	پڕۆژە												
grab	  فڕاندن	پڕپیاکردن												
grasp	  به‌توندگرتن	پڕپیاکردن												
president	  سەرۆککۆمار	پرێزیدنت												
software	  نەرمەکاڵا	پرۆگرامی کۆمپیوتەر												
professor	  مامۆستا	پرۆفیسۆر												
ovum	  گەرا	پرگه												
reception	  پێشوازگەی دوکتۆر	پرسگه												
domain	  دۆمەین	پاوان												
ventilator	  هەواکێش	پانکە												
plane	  فڕۆکە	پانتایی												
cloak	  پەردە	پاڵتۆ												
filter	  پاڵێوەر	پاڵاوتن												
propel	  بەرەوپێشچوون	پاڵ دەنێت												
packet	  سندوق	پاکەت												
annex	  دەلکێنێ	پاشکۆ												
guard	  پاسکردن	پاسه‌وان												
bus	  تێپەڕگە	پاس												
dice	  زاری تاوڵە	پاژنە												
province	  ولایەت	پارێزگا												
currency	  دراو	پاره که له وڵاتێکدا بەکاره												
park	  باخی گشتی	پارک												
protector	  پارێزەر	پاراستن لەشتی خراپ												
protection	  پارێزگاری	پاراستن												
defence	  بەرگری	پاراستن												
powerful	  بە توانا	بەهێز												
cost	  تێچوون	بەها												
celebrity	  کەسێکی ناسراو	بەناوودەنگ												
conveyance	  گواستنەوه	بەڵگەنامەی گواستنەوه												
divergence	  پەڵهاوێژی	بەڵاوبوون												
overtake	  بەلادان	بەلادا تێپەڕین												
adopt	  هەڵگرتنەوە	بەکوڕکردن												
exert	  کۆشس دەکات	بەکاریدەهێنێت												
utilisation	  سوودوەرگرتن	بەکارهێنان												
rear	  دواوە	بەشی پشتەوە												
inverse	  پێچەوانە	بەشێوەیەکی سەراوبن												
division	  دابەش	بەش												
episode	  رووداو	بەسەر‌هاتێکی گچکه												
event	  رووداو	بەسەرهات												
story	  چیرۆک	بەسەرهات												
connection	  پەیوەندی	بەستنەوە												
tie	  بۆینباخ	بەستنەوە												
closing	  داخستن	بەستن												
management	  کارگێڕی	بەڕێوەبەرایەتی												
boss	  سەرۆک	بەڕێوەبەر												
director	  دەرهێنەر	بەڕێوەبەر												
manager	  بەڕێوبەرایەتی	بەڕێوەبەر												
administer	  کاردەگێرێ	بەڕێوەبردن												
dear	  هێژا	بەڕێز												
deterioration	  تێکچوونی بارودۆخ	بەرەودواوە چوون												
advancement	  بەرەوپێش بردن	بەرەوپێشوەچوون												
proceed	  بەردەوامبوون	بەرەوپێش چوون												
dare	  بەرەنگاری دەکا	بەرەنگاری												
output	  بەرهەم	بەرەچه												
crash	  تێکشکان	بەریەککەوتن												
collar	  یەخە	بەرۆک												
dissent	  بۆچوونی جیاواز	بەرهەڵستی												
residue	  پاشماوه	بەرماوە												
defender	  بەرگر	بەرگریکەر												
resistance	  بەرهەڵستی کارەبای	بەرگری												
leaf	  گەڵا	بەرگ												
continue	  بەردەوام بە	بەردەوامبوون												
responsibility	  بەرپرسیارەتی	بەرپرسیاری												
equal	  یەکسان	بەرانبەر												
strangle	  خنکاندن	بەدەست خنکاندن												
throttle	  خنکاندن	بەدەست خنکاندن												
succeed	  سەرکەوتوو	بەدواداهاتن												
conceptualize	  وێناکردن	بەخەیاڵداهاتن												
cringe	  بەیەک دێتەوە	بەچۆک دێ												
dart	  تیر	بەتیژدەرچوون												
penalize	  سزادان	بەتاوانباردانان												
kind	  جۆر	بەبەزەیی												
loot	  تاڵانی کردن	بە تاڵان بردن												
sight	  دیمەن	بینایی												
project	  پڕۆژە	بیرۆکە												
belief	  باوەڕ	بیروباوەڕ												
heap	  شوێنی هەڵگرتن	بیرگەی بزۆک												
recollect	  بیرکەوتنەوە	بیر												
dry	  وشک	بێ‌ئاو												
unfortunate	  بەداخە بۆی	بێزارە بۆی												
stupor	  بێ هۆش	بێ ئاگا												
insignificant	  بێ بایەخ	بێ گرنگی												
insult	  سووکایەتیکردن	بێ رێزیکردن												
disbelief	  بێ باوەری	بێ بڕوایی												
dye	  ڕەنگ کردن	بۆیەکردن												
stink	  بۆگەن لێ هاتن	بۆنی زۆر ناخۆش												
smell	  بۆن	بۆنکردن												
vacuum	  واڵایی	بۆشایی												
doll	  بووک	بووکەشووشه												
engender	  بونە هۆی دروستکردن	بونە هۆکاری دروستبوون												
unscrew	  بورغوو دەکاتەوە	بورغووکردنەوە												
greet	  سڵاولێکرن	به‌خێرهاتن کردن												
depot	  کۆگا	بنکەی سەربازی												
station	  وێستگە	بنکە												
origin	  سەرچاوە	بنچینە												
groundwork	  بنچینه‌	بناغه‌												
distribute	  دابەشکردن	بڵاوکردنەوە												
crystal	  کریستاڵ	بلوور												
delete	  سڕینەوە	بسڕەوە												
remedy	  قەرەبو	بژاره												
animation	  جوڵاو	بزێو												
motor	  موتۆر	بزوێن												
nail	  نینۆک	بزمار												
settle	یەکلاییکردن	بڕینەوه												
determination	  یەکلاکردنەوه	بڕیاری یەکاڵایی												
item	  دانە	بڕگە												
delegate	  نوێنەر	بریکاری خەڵک												
authorization	  بریکاری	بریکارنامه												
administrator	  ‌‌بەڕێوبەر	بریکار												
fry	  سوورکردنەوە	برژاندن												
roast	  برژان	برژاندن												
importance	  گرنگی	بایەخ												
biography	  ژیاننامه	بایۆگرافی												
rely	  پشت دەبەستێ بە	باوەڕی پێدێنی												
trust	  متمانە پێبوون	باوەڕپێبوون												
summons	  بڕیاری ئامادەبوون له دادگا	بانگێشتنامه												
gang	  ده‌سته‌ شه‌لاتی یان پیاوکوژ	باندی شه‌لاتی و سه‌رسه‌ری و پیاوکوژ												
bird	  پەلەوەر	باڵنده												
city	  شار	باژێر												
volume	  قەبارە	بارستە												
pocket	  گیرفان	باخەڵ												
granddad	  باپیره‌	بابه‌گه‌وره‌												
ancestry	  نەژاد	باب و باپیران												
air	  هەوا	با												
granny	  پیرێژن	‌‌ داپیره‌												
county	ناوچه													
glance	چاوپیاخشان													
membership	  ئەندامێتی													
member	  ئەندام													
organ	  ئەندام													
engineer	  ئەندازیار													
academic	  ئەکادیمی													
torture	  ئەشکەنجە													
superstar	  ئەستێرەی سینەمایی													
aspirin	  ئەسپرین													
horse	  ئەسپ													
endorsement	  ئیمزای پشت بەڵگەێک													
Fe	  ئیمان													
gesticulate	  ئیشاره‌تکردن به‌ ده‌ست و چاو و سه‌ر له‌کاتی قسه‌کردندا													
evening	  ئێوارە													
car	  ئۆتۆمۆبیل													
gaffer	  ئه‌وکه‌سه‌ی که‌ قسه‌ یان کردارێکی نابه‌جێ له‌به‌رچاوی خه‌لك ده‌کات													
religion	  ئایین													
silk	  ئاوریشم													
composer	  ئاوازدانەر													
tone	  ئاواز													
aspiration	  ئاوات													
water	  ئاو													
fete	  ئاهه‌نگ و زه‌ماوه‌ند													
apparatus	  ئامێر													
advice	  ئامۆژگاری													
aim	  ئامانج													
loading	  ئامادەکردن													
preparation	  ئامادەکاری													
ready	  ئامادە													
complex	  ئاڵۆز													
heritage	  ئاسەوار													
sky	  ئاسمان													
economy	  ئابووری													
besiege	  ئابڵۆقەدان													
disgrace	  ئابڕووچوون													
unit	  یەکە													
combination	  یەکێتی													
cohere	  یەکدەگرێ													
yacht	  یەخت													
guild	  یه‌کێتی													
companion	  یاوەر													
club	  یانە													
legality	  یاسایی بون													
constitution	  یاسای بنچینەیی													
infraction	  یاسا شکاندن													
enactment	  یاسا دەرکردن													
law	  یاسا													
befriend	  وەک هاوڕێ													
version	  وەشان													
translate	  وەرگێڕان													
receive	  وەرگرتن													
wintertime	  وەرزی زستان													
athlete	  وەرزشکار													
pixel	  وێنەخاڵ													
icon	  وێنۆچکە													
gangland	  ووڵاتی شه‌لاتیان													
buzz	  ووزەووز													
teddy	  وورچی منداڵان													
dryness	  وشکی													
energy	  وزه													
alert	  وریاکەر													
talks	  وتووێژ													
essay	  وتار													
have	  هەیەتی													
dough	  هەویر													
bee	  هەنگ													
breathing	  هەناسەدان													
breathe	  هەناسە دەدا													
amend	  هەموار کردنی یاسا													
blunder	  هەڵەی زل													
fault	  هەڵە													
mistake	  هەڵە													
inflation	  هەڵئاوسانی دراویی													
error	  هەڵه													
vapor	  هەڵم													
vapour	  هەڵم													
contingency	  هەڵکەوتووی													
appraise	  هەڵسەنگاندن													
crumble	  هەڵدەوەشێنێتەوە													
delve	  هەڵدەقۆڵێ													
option	  هەڵبژرادن													
elect	  هەڵبژاردن													
election	  هەڵبژاردن													
bulge	  هەڵاوساو													
comrade	  هەڤاڵ													
week	  هەفتە													
sensation	  هەست													
account	  هەژمار													
hope	  هیوا													
nothing	  هیچ													
actualisation	  هێنانەدی													
altitude	  هێڵی درێژی													
labour	  هێزی کار													
strength	  هێز													
crusade	  هێرشی خاچپەرستان													
hormone	  هۆرمۆن													
cookery	  هونەری چێشتلێنان													
cuisine	  هونەری چێشتلێنان													
artist	  هونەرمەند													
art	  هونەر													
grub	  هه‌ڵکه‌ندن													
citizen	  هاووڵاتی													
assist	  هاوکاری دەکا													
aid	  هاوکاری													
partner	  هاوکار													
equilibrium	  هاوسەنگی													
pal	  هاوڕێ													
coalition	  هاوپەیمانی													
attach	  هاوپێچ													
encourage	  هاندان													
grind	  هاڕین													
traffic	  هاتووچوو													
advent	  هاتن													
ailment	  نەخۆشی													
ill	  نەخۆشی													
illness	  نەخۆشی													
map	  نەخشە													
national	  نەتەوەیی													
hemisphere	  نیوگرۆڤەر													
half	  نیو													
dwell	  نیشتەجێ بوون													
dweller	  نیشتەجێ													
symptom	  نیشانەی نەخۆشی													
brand	  نیشانە													
indication	  نیشانە													
mark	  نیشانه													
consignment	  نێردراو													
restoration	  نۆژەنکردنەوە													
writer	  نووسەر													
write	  نووسین													
writing	  نوسین													
whimper	  نوزەنووز													
instance	  نموونە													
middle	  ناوەڕاست													
address	  ناونیشان													
infix	  ناوگر													
kernel	  ناوکە													
navel	  ناوک													
fame	  ناوبانگ													
popularity	  ناوبانگ													
bread	  نان													
honour	  نامووس													
bury	  ناشتن													
identity	  ناسنامه													
transmission	  ناردن													
betrayal	  ناپاکی													
ginmill	  مەیخانە													
death	  مەرگ													
visitor	  میوان													
vine	  مێو													
history	  مێژوو													
desk	  مێزی نووسین													
bureau	  مێزی نووستن													
musician	  مۆسیقاژەن													
marrow	  مۆخی ئیسک													
magnet	  مو‌گنا‌تیس													
gestate	  منداڵ هه‌ڵگرتن له‌ سکدا													
concede	  ملکەچ دەکا													
mouse	  مشک													
saw	  مشار													
brass	  مسی زەرد													
suck	  مژین													
hen	  مریشک													
humanity	  مرۆڤایەتی													
humankind	  مرۆڤایەتی													
mankind	  مرۆڤایەتی													
pearl	  مرواری													
bout	  ماوەی نەخۆشی													
month	  مانگ													
fish	  ماسی													
pigment	  مادەی رەنگی													
substance	  ماده													
berth	  لەنگەرگا													
clog	  لەمبەردائەنێ													
auspices	  لەژێر چاودێری													
dislocate	  لەجێ‌چوون(- ی ئێسک و جومگه)													
dislodge	  لەجێ لادەبا													
execution	  لە سێدارەدان													
abort	  لە باربردن													
curb	  لێواری شۆستە													
investigation	  لێکۆڵینەوە													
explanation	  لێکدانەوە													
bash	  لێدانێکی توند													
inquiry	  لێپرسینەوه													
questioning	  لێپرسینەوه													
crease	  لۆچ													
cylinder	  لوولەک													
sand	  لم													
paste	  لکاندن													
foliage	  لق و گەڵا													
languish	  لاواز دەبێت													
weaken	  لاواز دەبێ													
oblong	  لاکێشە													
stalk	  لاسکی گوڵ و گەڵا													
big	  گەورە													
flight	  گەشتی فڕۆکە													
journey	  گەشت													
return	  گەڕانەوە													
heat	  گەرمی													
warm	  گەرم													
conjugation	  گەردانکردن													
solution	  گیراوه													
beast	  گیانەوەر													
fauna	  گیاندارانی ناوچه‌یه‌ک													
sulfur	  گۆگرد													
sulphur	  گۆگرد													
magazine	  گۆڤار													
meat	  گۆشت													
shift	  گۆڕین													
alteration	  گۆڕان													
sing	  گۆرانی ووتن													
modification	  گۆران													
listen	  گوێگرتن													
obey	  گوێ ڕایەڵی کردن													
ear	  گوێ													
deception	  گومڕاکردن													
flower	  گوڵ													
squeeze	  گوشین													
compression	  گوشار													
public	  گشتی													
herb	  گژوگیای پزیشکی													
daylight	  گزنگ													
premise	  گریمانی پێشین													
assumption	  گریمان													
gram	  گرام													
gramme	  گرام													
joke	  گاڵته‌													
gas	  گاز													
arc	  کەوانە													
wardrobe	  کەنتۆر													
deficiency	  کەمتەرخەمی													
negligence	  کەمتەرخەمی													
amass	  کەڵەکە دەبێ													
cock	  کەڵەشێر													
canine	  کەڵبە													
cabbage	  کەلەرم													
commodity	  کەلوپەل													
surety	  کەفالەت کردن													
ferry	  کەشتی گەورەی گوستنەوە (ئوتومبیل و نەفەر)													
warship	  کەشتی جەنگی													
foreigner	  کەسی بیانی													
somebody	  کەسێک													
someone	  کەسێک													
person	  کەس													
mould	  کەڕوو													
fraction	  کەرت													
farm	  کێلگە													
cake	  کێک													
community	  کۆمەڵگا													
rabble	  کۆمەڵانی خەڵک													
pile	  کۆمەڵ													
grouping	  کۆمه‌ڵ													
republic	  کۆمار													
bum	  کۆم													
complement	  کۆڵکر													
college	  کۆلێژ													
endeavour	  کۆششکردن													
accumulate	  کۆدەکاتەوە													
migration	  کۆچکبەری													
terminate	  کۆتاییپێهێنان													
closure	  کۆتایی													
boy	  کوڕ													
abbreviate	  کورتکردنەوە													
abridge	  کورتکردنەوە													
gm	  کورتکراوه‌ی جێنه‌راڵ مۆتۆرزی ئه‌مریکی یه‌ : کۆمپانیایه‌کی دروست کردنی ئۆتۆموبیله‌													
boil	  کوان													
church	  کڵێسا													
hat	  کڵاو													
key	  کلیل													
agriculture	  کشتوکاڵ													
buy	  کڕین													
personnel	  کرێکارانی کارگە													
worm	  کرم													
victimise	  کردنەقوربانی													
do	  کردن													
shirt	  کراس													
daughter	  کچ													
library	  کتێبخانە													
lettuce	  کاهوو													
mineral	  کانزا													
manufactory	  کارگە													
reaction	  کاردانەوه													
adept	  کارامە													
persona	  کاراکتەری(کەسێک) بەرهەمێکی ئەدەبی													
time	  کات													
crisis	  قەیران													
alga	  قەوزە													
borrow	  قەرزکردن													
debt	  قەرز													
bulk	  قەبارە													
stage	  قۆناغ													
bow	  قوڵف													
deepen	  قوڵ دەکا													
tower	  قوله													
grave	  قه‌بر													
slot	  قڵیش													
fastener	  قفڵ													
blunt	  قسەلەڕوو													
persuasion	  قایلکردن													
belt	  قایش													
whip	  قامچی													
command	  فەرمان													
movie	  فیلم													
pilot	  فڕۆکەوان													
aeroplane	  فڕۆکە													
aircraft	  فڕۆکە													
airplane	  فڕۆکە													
genius	  فریشته‌ی پارێزه‌ر													
assistance	  فریاگوزاری													
jaw	  شەویلگه													
night	  شەو													
wave	  شەپۆل													
digest	  شیکردنەوە													
dessert	  شیرینی													
milk	  شیر													
decompress	  شیتەڵکردنەوە													
configuration	  شێوەپێدان													
dwelling	  شوێنی ژیان													
context	  شوێن لە ڕستەدا													
track	  شوێن پێ هەڵگرتن													
location	  شوێن													
bust	  شکاو													
fracture	  شکانی ئێسک													
thing	  شت													
testify	  شایەتی دان													
theater	  شانۆ													
theatre	  شانۆ													
works	  شاکار													
queen	  شاژن													
municipality	  شارەوانی													
conceal	  شاردنەوە													
covert	  شاراوە													
fin	  شاخی سەرپشتی ماسی													
horn	  شاخ													
wonder	  سەیر													
saint	  سەنت													
prove	  سەلماندن													
dog	  سەگ													
roof	  سەقف													
chairman	  سەرۆک													
lid	  سەرقاپ													
astonishment	  سەرسوڕمان													
amazement	  سەرسامی													
ascend	  سەردەکەوێ													
deck	  سەردێڕی بچوکی نێوان سەرناو و بابەت													
visit	  سەردان													
offence	  سەرپێچی کردنی یاسا													
independence	  سەربەخۆیی													
military	  سەربازی													
soldier	  سەرباز													
head	  سەر													
century	  سەدە													
bosom	  سینگ													
system	  سیستەم													
wither	  سیس دەبێ													
spy	  سیخوڕ													
sex	  سێکس													
rotate	  سووڕاندن													
cycle	  سووڕ													
redness	  سووری پێست													
red	  سوور													
fuel	  سووتەمەنی													
sweep	  سووتک													
alleviate	  سوککردن													
affront	  سوکایەتی پێکردن													
greens	  سه‌وزایی													
border	  سنوور													
limit	  سنوور													
bounds	  سنوری نەبەزێنراو													
chest	  سنگ													
hoof	  سم													
zero	  سفر													
penalty	  سزا													
erase	  سڕینەوە													
nature	  سرووشت													
year	  ساڵ													
sauce	  ساس													
construct	  سازدان													
attic	  سابات													
life	  ژیان													
basement	  ژێرزەمین													
cellar	  ژێرزەمین													
infrastructure	  ژێرخان													
garret	  ژووری به‌ینی سه‌ربان و بنمیچ : له‌وخانوانه‌دا که‌ سه‌ربانه‌کانیان ڕووی لێژه‌													
appointment	  ژووان													
gentlewoman	  ژنی خانه‌دان و جوامێر													
workforce	  ژمارەی کرێکاران													
number	  ژماره													
bell	  زەنگ													
chain	  زەنجیر													
salad	  زەڵاتە													
envelope	  زەرفی نامە													
protozoan	  زیندەوەری یەک شانەی بەچاو نەبینراو													
microorganism	  زیندەوەری میکرۆسکۆپی													
biology	  زیندەزانی													
gold	  زێڕ													
boost	  زێدە													
slough	  زۆنگاو													
majority	  زۆرینه													
add	  زۆرکردن													
wrestle	  زۆرانبازی													
large	  زۆر گەورە													
series	  زنجیرە													
language	  زمان													
winter	  زستان													
blare	  زریکە													
bang	  زرمە													
echo	  زایەڵە													
parturition	  زاین													
groom	  زاوا													
info	  زانیاری													
information	  زانیاری													
knowledge	  زانیاری													
university	  زانکۆ													
genealogy	  زانستی ڕه‌گه‌زناسی													
curiosity	  زانخوازی													
scientist	  زانا													
wound	  زامی برین													
oral	  زاری													
articulate	  ڕەوان													
color	  ڕەنگ													
effort	  ڕەنج													
stiff	  ڕەق بوون													
behave	  ڕەفتار دەکا													
behaviour	  ڕەفتار													
original	  ڕەسەن													
beard	  ڕیش													
degrade	  ڕیسوای دەکا													
row	  ڕیز													
baptism	  ڕێوڕەسمی بەدیانکردن													
footpath	  ڕێگەپێ													
concord	  ڕێککەوت													
saunter	  ڕێکردن لەسەر خۆ													
arrangement	  ڕێکخستن													
organize	  ڕێکخستن													
arrange	  ڕێک دەخا													
percentage	  ڕێژەی سەدی													
path	  ڕێڕەو													
guidance	  ڕێبەرایەتی													
workday	  ڕۆژانی کار													
seashore	  ڕۆخی دەریا													
coating	  ڕووکەشکردن													
blush	  ڕووسوربوون													
nakedness	  ڕووتی													
denude	  ڕووت دەکاتەوە													
bare	  ڕووت													
confrontation	  ڕووبەڕووبوونەوە													
aspect	  ڕوو													
graze	  ڕوشاندن													
spear	  ڕم													
contend	  ڕکابەری دەکات													
elder	  ڕدێنسپی													
consult	  ڕاوێژ دەکا													
wont	  ڕاهاتوو													
announce	  ڕاگەیاندن													
running	  ڕاکردن													
correction	  ڕاستکردنەوە													
correspond	  ڕازی دەبێ													
past	  ڕابردوو													
digit	  رەقەم													
array	  ریز													
ritual	  رێوڕەسمی ئایینی													
advertise	  رێکلام کردن													
arouse	  دەوروژێنێ													
agitate	  دەهەژێنێ													
depute	  دەنێرێ													
voting	  دەنگ دەدات													
sound	  دەنگ													
assess	  دەنرخێنێ													
tense	  دەمی فرمان													
mask	  دەمامک													
crunch	  دەکرمێنێ													
counterfeit	  دەشێوێنێ													
deform	  دەشێوێنێ													
authoritative	  دەسەڵاتدار													
devolve	  دەسەڵات بۆمانەوە													
dictate	  دەسەپێنێ													
jury	  دەستەی بڕیاردەران													
handkerchief	  دەستەسڕ													
assault	  دەستدرێژی													
hand	  دەست													
tract	  دەزگا													
lake	  دەریاچه													
sea	  دەریا													
drugstore	  دەرمانخانە													
pharmacy	  دەرمانخانه													
medicament	  دەرمان													
jab	  دەرزی کوتان													
compensate	  دەبژێرێ													
wall	  دیوار													
buck	  دۆلار (ئەسکەنازی ١ دۆلاری)													
smoke	  دووکەڵ													
beloved	  دولبەر													
antagonism	  دوژمنداری													
assert	  دوپاتدەکاتەوە													
deadline	  دوامۆڵەت													
defer	  دوا دەخا													
bead	  دڵۆپەئاو													
assurance	  دڵنیایی													
assure	  دڵنیادەکا													
